"Year","Month","Day","Hour","Temp","Warm_Hour"
2008,3,24,0,9.139,FALSE
2008,3,24,1,7.619,FALSE
2008,3,24,2,6.889,FALSE
2008,3,24,3,7.544,FALSE
2008,3,24,4,9.682,FALSE
2008,3,24,5,8.17,FALSE
2008,3,24,6,7.619,FALSE
2008,3,24,7,7.845,FALSE
2008,3,24,8,13.546,FALSE
2008,3,24,9,15.891,FALSE
2008,3,24,10,18.509,FALSE
2008,3,24,11,21.103,FALSE
2008,3,24,12,23.376,FALSE
2008,3,24,13,24.823,FALSE
2008,3,24,14,25.113,TRUE
2008,3,24,15,26.426,TRUE
2008,3,24,16,24.992,FALSE
2008,3,24,17,23.785,FALSE
2008,3,24,18,20.793,FALSE
2008,3,24,19,19.603,FALSE
2008,3,24,20,18.366,FALSE
2008,3,24,21,18.937,FALSE
2008,3,24,22,17.463,FALSE
2008,3,24,23,16.844,FALSE
2008,3,25,0,16.511,FALSE
2008,3,25,1,16.558,FALSE
2008,3,25,2,15.055,FALSE
2008,3,25,3,15.796,FALSE
2008,3,25,4,15.055,FALSE
2008,3,25,5,14.218,FALSE
2008,3,25,6,13.978,FALSE
2008,3,25,7,13.257,FALSE
2008,3,25,8,16.106,FALSE
2008,3,25,9,19.08,FALSE
2008,3,25,10,21.056,FALSE
2008,3,25,11,22.25,FALSE
2008,3,25,12,23.569,FALSE
2008,3,25,13,23.737,FALSE
2008,3,25,14,22.106,FALSE
2008,3,25,15,21.987,FALSE
2008,3,25,16,21.223,FALSE
2008,3,25,17,18.699,FALSE
2008,3,25,18,15.414,FALSE
2008,3,25,19,13.906,FALSE
2008,3,25,20,12.751,FALSE
2008,3,25,21,11.807,FALSE
2008,3,25,22,10.883,FALSE
2008,3,25,23,8.866,FALSE
2008,3,26,0,9.805,FALSE
2008,3,26,1,9.558,FALSE
2008,3,26,2,9.114,FALSE
2008,3,26,3,8.519,FALSE
2008,3,26,4,8.618,FALSE
2008,3,26,5,8.444,FALSE
2008,3,26,6,7.97,FALSE
2008,3,26,7,9.139,FALSE
2008,3,26,8,12.799,FALSE
2008,3,26,9,15.366,FALSE
2008,3,26,10,17.272,FALSE
2008,3,26,11,19.032,FALSE
2008,3,26,12,19.841,FALSE
2008,3,26,13,19.674,FALSE
2008,3,26,14,19.746,FALSE
2008,3,26,15,19.103,FALSE
2008,3,26,16,17.51,FALSE
2008,3,26,17,15.223,FALSE
2008,3,26,18,13.858,FALSE
2008,3,26,19,12.485,FALSE
2008,3,26,20,11.078,FALSE
2008,3,26,21,9.731,FALSE
2008,3,26,22,9.386,FALSE
2008,3,26,23,8.767,FALSE
2008,3,27,0,8.045,FALSE
2008,3,27,1,7.82,FALSE
2008,3,27,2,6.94,FALSE
2008,3,27,3,6,FALSE
2008,3,27,4,6.255,FALSE
2008,3,27,5,5.847,FALSE
2008,3,27,6,5.308,FALSE
2008,3,27,7,5.488,FALSE
2008,3,27,8,9.287,FALSE
2008,3,27,9,10.785,FALSE
2008,3,27,10,11.807,FALSE
2008,3,27,11,14.337,FALSE
2008,3,27,12,16.368,FALSE
2008,3,27,13,16.463,FALSE
2008,3,27,14,18.081,FALSE
2008,3,27,15,18.271,FALSE
2008,3,27,16,18.247,FALSE
2008,3,27,17,17.272,FALSE
2008,3,27,18,15.485,FALSE
2008,3,27,19,12.389,FALSE
2008,3,27,20,10.051,FALSE
2008,3,27,21,8.618,FALSE
2008,3,27,22,7.318,FALSE
2008,3,27,23,7.041,FALSE
2008,3,28,0,6.357,FALSE
2008,3,28,1,6.99,FALSE
2008,3,28,2,7.67,FALSE
2008,3,28,3,7.116,FALSE
2008,3,28,4,6.382,FALSE
2008,3,28,5,6.99,FALSE
2008,3,28,6,7.293,FALSE
2008,3,28,7,9.163,FALSE
2008,3,28,8,12.775,FALSE
2008,3,28,9,15.366,FALSE
2008,3,28,10,17.748,FALSE
2008,3,28,11,17.772,FALSE
2008,3,28,12,21.199,FALSE
2008,3,28,13,18.675,FALSE
2008,3,28,14,17.986,FALSE
2008,3,28,15,17.272,FALSE
2008,3,28,16,15.438,FALSE
2008,3,28,17,14.505,FALSE
2008,3,28,18,12.799,FALSE
2008,3,28,19,12.05,FALSE
2008,3,28,20,12.195,FALSE
2008,3,28,21,11.783,FALSE
2008,3,28,22,12.001,FALSE
2008,3,28,23,12.074,FALSE
2008,3,29,0,11.856,FALSE
2008,3,29,1,11.904,FALSE
2008,3,29,2,11.734,FALSE
2008,3,29,3,11.54,FALSE
2008,3,29,4,11.224,FALSE
2008,3,29,5,11.321,FALSE
2008,3,29,6,11.175,FALSE
2008,3,29,7,10.687,FALSE
2008,3,29,8,11.005,FALSE
2008,3,29,9,11.904,FALSE
2008,3,29,10,14.553,FALSE
2008,3,29,11,15.031,FALSE
2008,3,29,12,15.891,FALSE
2008,3,29,13,16.201,FALSE
2008,3,29,14,16.558,FALSE
2008,3,29,15,16.582,FALSE
2008,3,29,16,16.082,FALSE
2008,3,29,17,15.533,FALSE
2008,3,29,18,13.954,FALSE
2008,3,29,19,12.558,FALSE
2008,3,29,20,11.419,FALSE
2008,3,29,21,10.198,FALSE
2008,3,29,22,9.139,FALSE
2008,3,29,23,9.139,FALSE
2008,3,30,0,8.195,FALSE
2008,3,30,1,8.319,FALSE
2008,3,30,2,7.67,FALSE
2008,3,30,3,6.585,FALSE
2008,3,30,4,6,FALSE
2008,3,30,5,6.914,FALSE
2008,3,30,6,6.509,FALSE
2008,3,30,7,7.217,FALSE
2008,3,30,8,11.127,FALSE
2008,3,30,9,12.558,FALSE
2008,3,30,10,14.792,FALSE
2008,3,30,11,16.987,FALSE
2008,3,30,12,18.081,FALSE
2008,3,30,13,17.13,FALSE
2008,3,30,14,17.653,FALSE
2008,3,30,15,19.318,FALSE
2008,3,30,16,17.653,FALSE
2008,3,30,17,15.557,FALSE
2008,3,30,18,12.944,FALSE
2008,3,30,19,10.1,FALSE
2008,3,30,20,8.245,FALSE
2008,3,30,21,8.494,FALSE
2008,3,30,22,6.102,FALSE
2008,3,30,23,5.308,FALSE
2008,3,31,0,7.92,FALSE
2008,3,31,1,8.419,FALSE
2008,3,31,2,7.419,FALSE
2008,3,31,3,7.368,FALSE
2008,3,31,4,7.444,FALSE
2008,3,31,5,7.192,FALSE
2008,3,31,6,7.116,FALSE
2008,3,31,7,8.12,FALSE
2008,3,31,8,10.418,FALSE
2008,3,31,9,12.074,FALSE
2008,3,31,10,13.858,FALSE
2008,3,31,11,15.915,FALSE
2008,3,31,12,17.867,FALSE
2008,3,31,13,18.961,FALSE
2008,3,31,14,19.175,FALSE
2008,3,31,15,19.151,FALSE
2008,3,31,16,18.533,FALSE
2008,3,31,17,17.724,FALSE
2008,3,31,18,16.558,FALSE
2008,3,31,19,14.84,FALSE
2008,3,31,20,13.449,FALSE
2008,3,31,21,12.509,FALSE
2008,3,31,22,11.807,FALSE
2008,3,31,23,10.785,FALSE
2008,4,1,0,10.271,FALSE
2008,4,1,1,10.59,FALSE
2008,4,1,2,10.345,FALSE
2008,4,1,3,9.731,FALSE
2008,4,1,4,8.717,FALSE
2008,4,1,5,8.419,FALSE
2008,4,1,6,8.419,FALSE
2008,4,1,7,9.287,FALSE
2008,4,1,8,11.516,FALSE
2008,4,1,9,16.939,FALSE
2008,4,1,10,18.747,FALSE
2008,4,1,11,19.27,FALSE
2008,4,1,12,20.436,FALSE
2008,4,1,13,21.891,FALSE
2008,4,1,14,21.437,FALSE
2008,4,1,15,22.202,FALSE
2008,4,1,16,21.581,FALSE
2008,4,1,17,20.412,FALSE
2008,4,1,18,18.58,FALSE
2008,4,1,19,15.079,FALSE
2008,4,1,20,12.195,FALSE
2008,4,1,21,10.956,FALSE
2008,4,1,22,12.34,FALSE
2008,4,1,23,11.904,FALSE
2008,4,2,0,9.114,FALSE
2008,4,2,1,7.242,FALSE
2008,4,2,2,6.102,FALSE
2008,4,2,3,5.179,FALSE
2008,4,2,4,5.154,FALSE
2008,4,2,5,4.999,FALSE
2008,4,2,6,4.402,FALSE
2008,4,2,7,7.343,FALSE
2008,4,2,8,10.345,FALSE
2008,4,2,9,13.834,FALSE
2008,4,2,10,16.487,FALSE
2008,4,2,11,18.699,FALSE
2008,4,2,12,20.913,FALSE
2008,4,2,13,22.178,FALSE
2008,4,2,14,22.585,FALSE
2008,4,2,15,23.04,FALSE
2008,4,2,16,21.366,FALSE
2008,4,2,17,20.317,FALSE
2008,4,2,18,17.153,FALSE
2008,4,2,19,15.031,FALSE
2008,4,2,20,13.594,FALSE
2008,4,2,21,13.858,FALSE
